,brand,SUM(n_of_loves)
0,Drunk Elephant,1341544
1,The Ordinary,1042007
2,CLINIQUE,976449
3,SUNDAY RILEY,824036
4,Fresh,783197
5,GLAMGLOW,780632
6,Tatcha,702471
7,First Aid Beauty,680855
8,OLEHENRIKSEN,645625
9,tarte,612764
10,Caudalie,564942
11,Murad,560896
12,Origins,544328
13,IT Cosmetics,525627
14,Kiehl's Since 1851,495648
15,Peter Thomas Roth,466883
16,Kate Somerville,407816
17,belif,400440
18,Dr. Jart+,392522
19,Dr. Dennis Gross Skincare,382865
20,SEPHORA COLLECTION,378212
21,Herbivore,376050
22,Shiseido,350876
23,FARSÁLI,344170
24,Josie Maran,339785
25,Glow Recipe,329109
26,LANEIGE,302473
27,HUM Nutrition,288899
28,Smashbox,264923
29,FARSALI,248541
30,Algenist,246989
31,Estée Lauder,244654
32,philosophy,236480
33,MILK MAKEUP,229778
34,SK-II,213254
35,Biossance,211097
36,KORRES,203882
37,Perricone MD,197660
38,boscia,193457
39,bareMinerals,187677
40,La Mer,174287
41,Farmacy,163571
42,Lancôme,162868
43,Bobbi Brown,158316
44,Supergoop!,158026
45,AMOREPACIFIC,152395
46,REN Clean Skincare,146453
47,BECCA,139083
48,Youth To The People,134425
49,Peace Out,129415
50,Dr. Brandt Skincare,122621
51,Erborian,111056
52,Slip,104391
53,Clarins,102903
54,Saturday Skin,83545
55,KORA Organics,83394
56,Dior,83156
57,Skin Inc Supplement Bar,78402
58,Guerlain,75989
59,Tata Harper,67211
60,Moon Juice,66858
61,MAKE UP FOR EVER,66170
62,Kopari,57922
63,Volition Beauty,57052
64,DERMAdoctor,56596
65,Mario Badescu,54495
66,Son & Park,50382
67,COVER FX,49751
68,Neogen Dermalogy,48995
69,Evian,48427
70,COOLA,48152
71,Lancer,48086
72,L'Occitane,45223
73,Kat Von D,43795
74,Blithe,40582
75,Mount Lai,39998
76,Omorovicza,37763
77,Briogeo,34346
78,Jack Black,33750
79,Wander Beauty,32652
80,J.One,31835
81,Charlotte Tilbury,30248
82,Nurse Jamie,24485
83,Anthony,24469
84,Primary Raw,24150
85,The Beauty Chef,22542
86,Edible Beauty,22430
87,Vital Proteins,19360
88,Erno Laszlo,18402
89,Marc Jacobs Beauty,17830
90,Foreo,16898
91,Dr Roebuck's,16666
92,BeautyBio,15969
93,Cocofloss,15803
94,Too Cool For School,15127
95,Four Sigmatic,15025
96,Eve Lom,14952
97,NARS,14864
98,Indie Lee,13482
99,Laura Mercier,13473
