,brand,SUM(n_of_reviews)
0,CLINIQUE,24029
1,Murad,18314
2,OLEHENRIKSEN,16636
3,First Aid Beauty,15630
4,Josie Maran,13424
5,Peter Thomas Roth,13101
6,GLAMGLOW,12881
7,Origins,12663
8,tarte,12319
9,philosophy,11867
10,Fresh,11067
11,Caudalie,11040
12,Perricone MD,10486
13,SUNDAY RILEY,10472
14,Kate Somerville,10455
15,Drunk Elephant,10123
16,Dr. Jart+,8750
17,Lancôme,7073
18,belif,6960
19,Tatcha,6949
20,IT Cosmetics,6864
21,Algenist,6421
22,Dr. Dennis Gross Skincare,6199
23,Smashbox,6150
24,The Ordinary,5675
25,boscia,5305
26,Shiseido,5117
27,Dr. Brandt Skincare,4524
28,Kiehl's Since 1851,4322
29,Herbivore,4248
30,AMOREPACIFIC,3946
31,SEPHORA COLLECTION,3928
32,KORRES,3924
33,LANEIGE,3736
34,FARSÁLI,3590
35,REN Clean Skincare,3411
36,BECCA,3103
37,Biossance,2899
38,bareMinerals,2881
39,Supergoop!,2833
40,SK-II,2792
41,Glow Recipe,2660
42,DERMAdoctor,2653
43,Youth To The People,2630
44,MILK MAKEUP,2588
45,Saturday Skin,2493
46,HUM Nutrition,2440
47,Bobbi Brown,2429
48,Farmacy,2246
49,Clarins,2212
50,FARSALI,2000
51,Peace Out,2000
52,Lancer,1754
53,Estée Lauder,1681
54,Evian,1407
55,L'Occitane,1307
56,Erborian,1240
57,KORA Organics,1235
58,La Mer,1136
59,Erno Laszlo,1118
60,COVER FX,1010
61,MAKE UP FOR EVER,1000
62,Tata Harper,953
63,Skin Inc Supplement Bar,898
64,Dermalogica,867
65,COOLA,812
66,Kopari,773
67,Son & Park,756
68,Neogen Dermalogy,754
69,Proactiv,734
70,Volition Beauty,727
71,Jack Black,691
72,Dior,681
73,Moon Juice,636
74,Charlotte Tilbury,599
75,BIOEFFECT,578
76,Anthony,577
77,Obagi Clinical,542
78,Too Cool For School,481
79,Kat Von D,468
80,Guerlain,425
81,J.One,424
82,Dr Roebuck's,418
83,Four Sigmatic,391
84,Slip,382
85,Briogeo,365
86,The Beauty Chef,308
87,Primary Raw,289
88,Mario Badescu,287
89,LXMI,285
90,Wander Beauty,284
91,Blithe,277
92,Marc Jacobs Beauty,265
93,Omorovicza,264
94,Edible Beauty,262
95,Cocofloss,239
96,Mount Lai,193
97,NuFACE,172
98,Foreo,150
99,Vital Proteins,142
